municipio_norm,Departamento,Bajo_Rendimiento,lisa_I_br,lisa_p_br,lisa_cluster_br,precipitacion_alta,lisa_I_pa,lisa_p_pa,lisa_cluster_pa
acacias,Meta,1,0.2224408886050555,0.002,Alto-Alto,1,0.9895063481693986,0.001,Alto-Alto
acacias,Meta,1,0.2224408886050555,0.002,Alto-Alto,1,0.9895063481693986,0.001,Alto-Alto
aguazul,Casanare,1,-0.408965587846725,0.001,Alto-Bajo,0,0.3928977771593094,0.001,Bajo-Bajo
aguazul,Casanare,1,-0.408965587846725,0.001,Alto-Bajo,0,0.3928977771593094,0.001,Bajo-Bajo
cabuyaro,Meta,0,0.287147299286687,0.02,Bajo-Bajo,0,0.047483208298179015,0.302,No significativo
cabuyaro,Meta,0,0.287147299286687,0.02,Bajo-Bajo,1,-0.12241315647456466,0.179,No significativo
castilla la nueva,Meta,1,0.5981060691026814,0.001,Alto-Alto,1,0.8547282263943727,0.001,Alto-Alto
castilla la nueva,Meta,1,0.5981060691026814,0.001,Alto-Alto,1,0.8547282263943727,0.001,Alto-Alto
cumaral,Meta,1,-0.19079080994233447,0.016,Alto-Bajo,1,0.5177829219568079,0.001,Alto-Alto
cumaral,Meta,1,-0.19079080994233447,0.016,Alto-Bajo,1,0.5177829219568079,0.001,Alto-Alto
el castillo,Meta,1,0.4970568908042693,0.001,Alto-Alto,1,0.8867167046637617,0.001,Alto-Alto
el castillo,Meta,1,0.4970568908042693,0.001,Alto-Alto,1,0.8867167046637617,0.001,Alto-Alto
fuente de oro,Meta,0,-0.4440872745428442,0.001,Bajo-Alto,1,0.6970378239175922,0.001,Alto-Alto
fuente de oro,Meta,0,-0.4440872745428442,0.001,Bajo-Alto,1,0.6970378239175922,0.001,Alto-Alto
granada,Meta,1,0.17129835165612042,0.017,Alto-Alto,1,0.9297902991651168,0.001,Alto-Alto
granada,Meta,1,0.17129835165612042,0.017,Alto-Alto,1,0.9297902991651168,0.001,Alto-Alto
mani,Casanare,0,0.6917231784188285,0.001,Bajo-Bajo,0,0.39730751681466986,0.001,Bajo-Bajo
mani,Casanare,0,0.6917231784188285,0.001,Bajo-Bajo,0,0.39730751681466986,0.001,Bajo-Bajo
nunchia,Casanare,0,0.7783998002870883,0.001,Bajo-Bajo,0,0.46391640291324354,0.001,Bajo-Bajo
nunchia,Casanare,0,0.7783998002870883,0.001,Bajo-Bajo,0,0.46391640291324354,0.001,Bajo-Bajo
paz de ariporo,Casanare,1,-0.20980037329281662,0.013,Alto-Bajo,0,0.5159246625992284,0.001,Bajo-Bajo
paz de ariporo,Casanare,1,-0.20980037329281662,0.013,Alto-Bajo,0,0.5159246625992284,0.001,Bajo-Bajo
pore,Casanare,1,-0.6029885676259701,0.001,Alto-Bajo,0,0.49220398845673335,0.001,Bajo-Bajo
pore,Casanare,1,-0.6029885676259701,0.001,Alto-Bajo,0,0.49220398845673335,0.001,Bajo-Bajo
puerto concordia,Meta,1,0.5981060691026824,0.001,Alto-Alto,0,0.14135088899270304,0.145,No significativo
puerto concordia,Meta,1,0.5981060691026824,0.001,Alto-Alto,1,-0.33753977392316326,0.072,No significativo
puerto lleras,Meta,1,0.32582161657145553,0.001,Alto-Alto,0,-0.21421502487651897,0.001,Bajo-Alto
puerto lleras,Meta,1,0.32582161657145553,0.001,Alto-Alto,1,0.37804203988386453,0.001,Alto-Alto
puerto lopez,Meta,0,0.22681196136004667,0.001,Bajo-Bajo,0,-0.10490576544765069,0.005,Bajo-Alto
puerto lopez,Meta,0,0.22681196136004667,0.001,Bajo-Bajo,0,-0.10490576544765069,0.005,Bajo-Alto
restrepo,Meta,1,-0.17265524950451827,0.013,Alto-Bajo,1,0.8450458900599596,0.001,Alto-Alto
restrepo,Meta,1,-0.17265524950451827,0.013,Alto-Bajo,1,0.8450458900599596,0.001,Alto-Alto
san carlos de guaroa,Meta,1,0.07829029608852378,0.119,No significativo,0,-0.3568070109011938,0.001,Bajo-Alto
san carlos de guaroa,Meta,1,0.07829029608852378,0.119,No significativo,0,-0.3568070109011938,0.001,Bajo-Alto
san juan de arama,Meta,1,0.31253944815529927,0.001,Alto-Alto,1,0.32876482434549115,0.003,Alto-Alto
san juan de arama,Meta,1,0.31253944815529927,0.001,Alto-Alto,0,-0.18842094610376273,0.001,Bajo-Alto
san luis de palenque,Casanare,0,0.6957546492033987,0.001,Bajo-Bajo,0,0.4630969087406883,0.001,Bajo-Bajo
san luis de palenque,Casanare,0,0.6957546492033987,0.001,Bajo-Bajo,0,0.4630969087406883,0.001,Bajo-Bajo
san martin,Meta,1,0.06591373006437724,0.078,No significativo,0,-0.3090877351548404,0.001,Bajo-Alto
san martin,Meta,1,0.06591373006437724,0.078,No significativo,1,0.56235240667077,0.001,Alto-Alto
tauramena,Casanare,0,1.0322384786155618,0.001,Bajo-Bajo,0,0.38840586844204894,0.003,Bajo-Bajo
tauramena,Casanare,0,1.0322384786155618,0.001,Bajo-Bajo,0,0.38840586844204894,0.003,Bajo-Bajo
trinidad,Casanare,0,0.9315783130715124,0.001,Bajo-Bajo,0,0.4991546523331345,0.001,Bajo-Bajo
trinidad,Casanare,0,0.9315783130715124,0.001,Bajo-Bajo,0,0.4991546523331345,0.001,Bajo-Bajo
villanueva,Casanare,1,-0.46627860897392787,0.001,Alto-Bajo,0,0.2910811795680645,0.001,Bajo-Bajo
villanueva,Casanare,1,-0.46627860897392787,0.001,Alto-Bajo,0,0.2910811795680645,0.001,Bajo-Bajo
villavicencio,Meta,0,0.022814575542983984,0.421,No significativo,1,0.6878300849439897,0.001,Alto-Alto
villavicencio,Meta,0,0.022814575542983984,0.421,No significativo,1,0.6878300849439897,0.001,Alto-Alto
vistahermosa,Meta,1,0.5981060691026814,0.001,Alto-Alto,1,0.14714308707548684,0.185,No significativo
vistahermosa,Meta,1,0.5981060691026814,0.001,Alto-Alto,1,0.14714308707548684,0.185,No significativo
yopal,Casanare,0,0.6957546492033988,0.001,Bajo-Bajo,0,0.4274489122345195,0.001,Bajo-Bajo
yopal,Casanare,0,0.6957546492033988,0.001,Bajo-Bajo,0,0.4274489122345195,0.001,Bajo-Bajo
aguazul,Casanare,1,-0.408965587846725,0.001,Alto-Bajo,0,0.3928977771593094,0.001,Bajo-Bajo
aguazul,Casanare,1,-0.408965587846725,0.001,Alto-Bajo,0,0.3928977771593094,0.001,Bajo-Bajo
cabuyaro,Meta,0,0.287147299286687,0.017,Bajo-Bajo,0,0.047483208298179015,0.294,No significativo
cabuyaro,Meta,0,0.287147299286687,0.017,Bajo-Bajo,0,0.047483208298179015,0.294,No significativo
castilla la nueva,Meta,1,0.5981060691026814,0.001,Alto-Alto,1,0.8547282263943727,0.001,Alto-Alto
castilla la nueva,Meta,1,0.5981060691026814,0.001,Alto-Alto,1,0.8547282263943727,0.001,Alto-Alto
cumaral,Meta,1,-0.1907908099423344,0.014,Alto-Bajo,0,-0.29515694635523165,0.001,Bajo-Alto
cumaral,Meta,1,-0.1907908099423344,0.014,Alto-Bajo,0,-0.29515694635523165,0.001,Bajo-Alto
el castillo,Meta,1,0.4970568908042693,0.001,Alto-Alto,1,0.8867167046637617,0.001,Alto-Alto
el castillo,Meta,1,0.4970568908042693,0.001,Alto-Alto,1,0.8867167046637617,0.001,Alto-Alto
fuente de oro,Meta,0,-0.4440872745428442,0.001,Bajo-Alto,0,-0.3853254081061294,0.001,Bajo-Alto
fuente de oro,Meta,0,-0.4440872745428442,0.001,Bajo-Alto,0,-0.3853254081061294,0.001,Bajo-Alto
granada,Meta,1,0.17129835165612042,0.014,Alto-Alto,1,0.9297902991651168,0.001,Alto-Alto
granada,Meta,1,0.17129835165612042,0.014,Alto-Alto,0,-0.5128111144232397,0.001,Bajo-Alto
mani,Casanare,0,0.6917231784188285,0.001,Bajo-Bajo,0,0.39730751681466986,0.001,Bajo-Bajo
mani,Casanare,0,0.6917231784188285,0.001,Bajo-Bajo,0,0.39730751681466986,0.001,Bajo-Bajo
nunchia,Casanare,0,0.7783998002870883,0.001,Bajo-Bajo,0,0.46391640291324354,0.001,Bajo-Bajo
nunchia,Casanare,0,0.7783998002870883,0.001,Bajo-Bajo,0,0.46391640291324354,0.001,Bajo-Bajo
orocue,Casanare,1,-0.6507016967594776,0.001,Alto-Bajo,0,0.42815481315543436,0.001,Bajo-Bajo
orocue,Casanare,1,-0.6507016967594776,0.001,Alto-Bajo,0,0.42815481315543436,0.001,Bajo-Bajo
paz de ariporo,Casanare,0,0.3181260522336486,0.014,Bajo-Bajo,0,0.5159246625992284,0.001,Bajo-Bajo
paz de ariporo,Casanare,0,0.3181260522336486,0.014,Bajo-Bajo,0,0.5159246625992284,0.001,Bajo-Bajo
pore,Casanare,1,-0.6029885676259701,0.001,Alto-Bajo,0,0.49220398845673335,0.001,Bajo-Bajo
pore,Casanare,1,-0.6029885676259701,0.001,Alto-Bajo,0,0.49220398845673335,0.001,Bajo-Bajo
puerto concordia,Meta,1,0.5981060691026824,0.001,Alto-Alto,0,0.14135088899270304,0.122,No significativo
puerto concordia,Meta,1,0.5981060691026824,0.001,Alto-Alto,0,0.14135088899270304,0.122,No significativo
puerto lleras,Meta,1,0.32582161657145553,0.001,Alto-Alto,0,-0.21421502487651897,0.001,Bajo-Alto
puerto lleras,Meta,1,0.32582161657145553,0.001,Alto-Alto,0,-0.21421502487651897,0.001,Bajo-Alto
puerto lopez,Meta,0,0.22681196136004667,0.001,Bajo-Bajo,0,-0.10490576544765069,0.007,Bajo-Alto
puerto lopez,Meta,0,0.22681196136004667,0.001,Bajo-Bajo,0,-0.10490576544765069,0.007,Bajo-Alto
puerto rico,Meta,1,0.598106069102681,0.001,Alto-Alto,0,-0.020357824828686647,0.453,No significativo
puerto rico,Meta,1,0.598106069102681,0.001,Alto-Alto,0,-0.020357824828686647,0.453,No significativo
restrepo,Meta,1,-0.17265524950451827,0.013,Alto-Bajo,0,-0.4698972067138675,0.001,Bajo-Alto
restrepo,Meta,1,-0.17265524950451827,0.013,Alto-Bajo,1,0.8450458900599596,0.001,Alto-Alto
san carlos de guaroa,Meta,1,0.07829029608852378,0.112,No significativo,0,-0.3568070109011938,0.001,Bajo-Alto
san carlos de guaroa,Meta,1,0.07829029608852378,0.112,No significativo,0,-0.3568070109011938,0.001,Bajo-Alto
san juan de arama,Meta,1,0.31253944815529927,0.001,Alto-Alto,0,-0.18842094610376273,0.002,Bajo-Alto
san juan de arama,Meta,1,0.31253944815529927,0.001,Alto-Alto,0,-0.18842094610376273,0.002,Bajo-Alto
san luis de palenque,Casanare,0,0.6957546492033987,0.001,Bajo-Bajo,0,0.4630969087406883,0.001,Bajo-Bajo
san luis de palenque,Casanare,0,0.6957546492033987,0.001,Bajo-Bajo,0,0.4630969087406883,0.001,Bajo-Bajo
san martin,Meta,1,0.06591373006437724,0.084,No significativo,0,-0.3090877351548404,0.001,Bajo-Alto
san martin,Meta,1,0.06591373006437724,0.084,No significativo,0,-0.3090877351548404,0.001,Bajo-Alto
tauramena,Casanare,0,1.0322384786155618,0.001,Bajo-Bajo,0,0.38840586844204894,0.001,Bajo-Bajo
tauramena,Casanare,0,1.0322384786155618,0.001,Bajo-Bajo,0,0.38840586844204894,0.001,Bajo-Bajo
trinidad,Casanare,0,0.9315783130715124,0.001,Bajo-Bajo,0,0.4991546523331345,0.001,Bajo-Bajo
trinidad,Casanare,0,0.9315783130715124,0.001,Bajo-Bajo,0,0.4991546523331345,0.001,Bajo-Bajo
villanueva,Casanare,1,-0.46627860897392787,0.001,Alto-Bajo,0,0.2910811795680645,0.001,Bajo-Bajo
villanueva,Casanare,1,-0.46627860897392787,0.001,Alto-Bajo,0,0.2910811795680645,0.001,Bajo-Bajo
villavicencio,Meta,1,-0.02858771331625631,0.348,No significativo,0,-0.38246024203180146,0.001,Bajo-Alto
villavicencio,Meta,1,-0.02858771331625631,0.348,No significativo,0,-0.38246024203180146,0.001,Bajo-Alto
vistahermosa,Meta,1,0.5981060691026814,0.001,Alto-Alto,0,-0.09678633050325693,0.133,No significativo
vistahermosa,Meta,1,0.5981060691026814,0.001,Alto-Alto,0,-0.09678633050325693,0.133,No significativo
yopal,Casanare,0,0.6957546492033988,0.001,Bajo-Bajo,0,0.4274489122345195,0.001,Bajo-Bajo
yopal,Casanare,0,0.6957546492033988,0.001,Bajo-Bajo,0,0.4274489122345195,0.001,Bajo-Bajo
acacias,Meta,1,0.2224408886050555,0.001,Alto-Alto,0,-0.547628639257745,0.001,Bajo-Alto
acacias,Meta,1,0.2224408886050555,0.001,Alto-Alto,0,-0.547628639257745,0.001,Bajo-Alto
aguazul,Casanare,1,-0.408965587846725,0.001,Alto-Bajo,0,0.3928977771593094,0.001,Bajo-Bajo
aguazul,Casanare,1,-0.408965587846725,0.001,Alto-Bajo,0,0.3928977771593094,0.001,Bajo-Bajo
cabuyaro,Meta,0,0.287147299286687,0.017,Bajo-Bajo,0,0.047483208298179015,0.29,No significativo
cabuyaro,Meta,0,0.287147299286687,0.017,Bajo-Bajo,0,0.047483208298179015,0.29,No significativo
castilla la nueva,Meta,1,0.5981060691026814,0.001,Alto-Alto,1,0.8547282263943727,0.001,Alto-Alto
castilla la nueva,Meta,1,0.5981060691026814,0.001,Alto-Alto,1,0.8547282263943727,0.001,Alto-Alto
